	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Bcatenin_N	Bcatenin_N	2185.30945388565	-0.0986311006920081	0.0286665943951662	-3.44062846574616	0.000580364855005635	0.00114584855988292
ERBB4_N	ERBB4_N	162.712441142471	0.0493390511458868	0.0151729627333021	3.25177435766028	0.00114687029623223	0.00220772532024705
P38_N	P38_N	465.39170527988	0.0931841338274067	0.0293164224506654	3.17856430075055	0.00148006385687203	0.0027796321214426
AcetylH3K9_N	AcetylH3K9_N	208.352384422531	0.366966255381221	0.117175516321475	3.13176563587257	0.00173758519333386	0.00318557285444541
H3MeK4_N	H3MeK4_N	214.715965195571	0.110777963844315	0.0393432860340911	2.81567644726793	0.00486746599723747	0.00871616004156478
pCFOS_N	pCFOS_N	136.098761213055	0.0952767108575611	0.0366942590436707	2.59650183273002	0.00941784032691412	0.016114971226053
NR1_N	NR1_N	2290.87291090743	-0.0522576498261403	0.0200914457486134	-2.60099001734342	0.00929551588605909	0.016114971226053
pNR2B_N	pNR2B_N	1581.57493253702	0.0659553090263769	0.0255168757841821	2.58477211646979	0.00974433778848454	0.0163111741242024
RSK_N	RSK_N	165.693549447379	-0.0624990186670157	0.024293056598995	-2.57271119475353	0.0100905370546632	0.0165313053874269
GSK3B_N	GSK3B_N	1056.07973575971	-0.042942426784748	0.0175728867660859	-2.44367515459231	0.0145385104982315	0.0233221939242464
TIAM1_N	TIAM1_N	422.998232475707	0.0440628190314572	0.0189039606366116	2.33087763344788	0.0197598129833626	0.0310511346881412
pELK_N	pELK_N	1304.00074665376	-0.0991618008697469	0.0438942447238575	-2.25910712198336	0.0238767222390724	0.0367701522481715
SYP_N	SYP_N	452.45157687958	-0.0419836808261135	0.01922323325529	-2.18400725146277	0.0289617152150553	0.0437265112070443
S6_N	S6_N	395.06343180429	-0.114821836098763	0.055372168093248	-2.07363807581817	0.0381129362255596	0.0564364632570786
BAX_N	BAX_N	181.070403695407	-0.0303611231666529	0.0165457152263025	-1.83498402767069	0.0665080560906525	0.0966249116788725
RAPTOR_N	RAPTOR_N	319.560665625571	0.0319599307721564	0.0182414933293441	1.75204574511146	0.0797659422979187	0.113740325128514
GFAP_N	GFAP_N	116.166178212737	-0.0343232654863294	0.020734410431577	-1.65537696861916	0.0978480548482015	0.136987276787482
CAMKII_N	CAMKII_N	363.464269725997	-0.0248542121634454	0.0180968963491081	-1.37339639261792	0.169629150625096	0.233240082109507
pAKT_N	pAKT_N	241.569193647083	0.0207830039349541	0.0179171932955029	1.15994752036138	0.246070173458837	0.33241058519878
pMEK_N	pMEK_N	283.676215482095	-0.0153291120763322	0.0143141596191482	-1.0709054868877	0.284211928508158	0.3773158361229
pGSK3B_Tyr216_N	pGSK3B_Tyr216_N	856.548987100253	-0.0175724556176047	0.0177558132504613	-0.989673374557947	0.32233379304626	0.420672916348509
CREB_N	CREB_N	180.186133614189	-0.018628772508283	0.0194075715879548	-0.959871379263379	0.337119952291204	0.432637272107045
RRP1_N	RRP1_N	164.736583154183	-0.0314224228252337	0.0349416466603445	-0.899282828044142	0.36850203161689	0.465158302204926
MTOR_N	MTOR_N	471.218781537833	-0.0155741354885712	0.0211516233836516	-0.736309228189489	0.461542531456386	0.564107538446694
DYRK1A_N	DYRK1A_N	310.226039940994	-0.0267971992017273	0.0358064482024749	-0.748390319257497	0.454224760022634	0.564107538446694
Tau_N	Tau_N	217.27414244046	0.0314584897393019	0.0531756641791113	0.591595614740991	0.554121411092073	0.656845296854721
pNR1_N	pNR1_N	834.668632228886	0.0109721717277304	0.0189706533884492	0.578376058170514	0.563010254446904	0.656845296854721
BAD_N	BAD_N	161.666937803806	-0.0194453037239346	0.0334443363634672	-0.581422920538965	0.560955453436777	0.656845296854721
NR2A_N	NR2A_N	3728.09214730883	0.0172189207088111	0.0349327458095261	0.492916325636088	0.62207171136948	0.714918235454477
pBRAF_N	pBRAF_N	184.738149129515	0.00618398500421457	0.0174504536942194	0.354373881193878	0.723058705959809	0.815088656184883
NR2B_N	NR2B_N	588.278115325575	0.00586001475096752	0.0170058579229115	0.344588010644997	0.730404120477363	0.815088656184883
SHH_N	SHH_N	240.947397151065	-0.00903486828944221	0.0292539085320798	-0.308843116793593	0.75744086890235	0.833184955792585
nNOS_N	nNOS_N	197.207295483263	0.00444203049120418	0.0169494959544685	0.262074489007627	0.793264014391995	0.854934309295858
ITSN1_N	ITSN1_N	518.481210950073	-0.00736541188916666	0.0289863894909078	-0.254098976054847	0.799419094406517	0.854934309295858
APP_N	APP_N	396.948078059421	-0.00329835163483586	0.0188548694930755	-0.174933676207474	0.861131748471522	0.908317049757633
AMPKA_N	AMPKA_N	370.069528345749	-0.00248708409219019	0.0185644297086827	-0.133970400988238	0.89342597999518	0.929645952157147
ADARB1_N	ADARB1_N	1123.81088868961	0.00352497970559631	0.0332898894994868	0.105887395800778	0.915671694537372	0.940089606391702
GluR4_N	GluR4_N	126.157748347306	0.000537582051578717	0.0289098458564501	0.0185951199549124	0.985164095876036	0.992306374712468
pERK_N	pERK_N	355.522251196937	-0.000254976731621952	0.026442520560945	-0.00964267876938127	0.992306374712468	0.992306374712468
