	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
P70S6_N	P70S6_N	966.23718241868	0.137243444020674	0.0254221261813064	5.39858244121191	6.71695013189566e-08	1.39785178420531e-07
pJNK_N	pJNK_N	299.995015381794	-0.0943162839333275	0.0179341565914515	-5.25903091413199	1.44816545227672e-07	2.93444052171862e-07
BAX_N	BAX_N	184.834219717114	0.0793658784786628	0.0155620952916173	5.09994811054873	3.39746608698775e-07	6.70781765892454e-07
RAPTOR_N	RAPTOR_N	300.311376794831	-0.105871809939469	0.0218956931669328	-4.83528012254749	1.32958267757112e-06	2.5594466543244e-06
APP_N	APP_N	404.075059598718	0.0910913464062645	0.0190345490639054	4.7855794272005	1.70494743534399e-06	3.18994319109477e-06
H3MeK4_N	H3MeK4_N	192.017591844246	-0.177230371514829	0.0370658958956576	-4.7814943422315	1.73996901332442e-06	3.18994319109477e-06
SHH_N	SHH_N	228.955073689199	-0.107914751968244	0.0228025316088364	-4.73257767249077	2.21686430119257e-06	3.96973374864716e-06
pMTOR_N	pMTOR_N	718.667926397851	-0.162853007769295	0.0349303513002769	-4.6622207251607	3.12815424217098e-06	5.47426992379921e-06
MEK_N	MEK_N	270.444706243078	-0.0775593763846679	0.0171958449611428	-4.51035564462972	6.47190303385279e-06	1.10741451912592e-05
EGR1_N	EGR1_N	176.628262522976	-0.14224064443444	0.0322682920614824	-4.40806238407108	1.04299506493888e-05	1.74588304348464e-05
GluR3_N	GluR3_N	220.005901157169	0.110330881553269	0.0273032863991471	4.04093778090816	5.32378829272826e-05	8.72195103276757e-05
pNR2A_N	pNR2A_N	699.893644790872	-0.121362312016902	0.032655342917629	-3.71646111091317	0.000202032721090155	0.00032409415674879
PSD95_N	PSD95_N	2196.86761391001	-0.0585233531616125	0.0161984803045552	-3.61289158373426	0.000302801331635164	0.000475830663998115
TRKA_N	TRKA_N	690.218164718774	0.0642167607764298	0.0197547986962219	3.25069173135695	0.00115124612568217	0.00177291903355055
BAD_N	BAD_N	154.860035267039	-0.0958710064457116	0.0295923881031735	-3.23971847461106	0.00119647767212771	0.00180644668144772
pRSK_N	pRSK_N	444.006030129828	-0.0661938550939092	0.0211236813884495	-3.13363252724045	0.00172656931060363	0.0025566507099323
pCASP9_N	pCASP9_N	1593.64702111152	0.0667542502912316	0.021903259299962	3.04768570636185	0.002306109844273	0.00335038600017021
pGSK3B_Tyr216_N	pGSK3B_Tyr216_N	862.796771372749	0.0514206400833987	0.0191155642900754	2.68998808003256	0.00714545712964121	0.0101888925737476
Tau_N	Tau_N	204.269731971602	-0.102755095921072	0.0406026138249395	-2.53075076309387	0.0113818693496988	0.0159346170895784
Bcatenin_N	Bcatenin_N	2167.55683875183	-0.0646196590389399	0.0259081646885081	-2.49418126740575	0.0126248053627335	0.0173591073737585
JNK_N	JNK_N	232.729309356111	-0.0321262892426483	0.0129460357081964	-2.48155419672669	0.0130810816192089	0.0176709348189313
NR2A_N	NR2A_N	3760.01874047687	0.0832564225632163	0.0337849158911794	2.46430752799219	0.0137278270820975	0.0182248738848536
DSCR1_N	DSCR1_N	544.141480934919	-0.0766671880534467	0.0315241179296484	-2.43201691557375	0.0150150060633238	0.0195958553707785
pNR2B_N	pNR2B_N	1554.79886626498	0.0552820780407652	0.0241009906427723	2.29376787287139	0.0218038357402361	0.0279815891999696
GluR4_N	GluR4_N	126.613030200233	0.0585930451250045	0.0263096399413579	2.22705613819132	0.0259435221324454	0.0327483803966934
ERBB4_N	ERBB4_N	155.818441323065	-0.0316861349247206	0.0145591426539202	-2.17637368339053	0.0295273299551023	0.0366710388152077
BCL2_N	BCL2_N	128.454627401809	-0.0624667675457752	0.0289004059448283	-2.16144948500122	0.0306606350674845	0.0374741095269255
ELK_N	ELK_N	1240.18297215154	0.079307756317014	0.0406610350644911	1.95046083286436	0.0511212173187251	0.0615052145865912
RRP1_N	RRP1_N	166.656959503945	0.0517802090597818	0.0307521696001394	1.68379043602657	0.0922221761973942	0.109247808726144
SYP_N	SYP_N	456.325394905367	0.0345761596564837	0.0211418586057731	1.63543614122185	0.101957651259468	0.118950593136046
H3AcK18_N	H3AcK18_N	153.877678818643	-0.0633911432384632	0.0454830021477224	-1.39373260877938	0.16339836529518	0.187786181010878
NR1_N	NR1_N	2312.64031879907	0.0265593506116964	0.0192667304226328	1.37850844585945	0.168046362034691	0.190287792303988
AcetylH3K9_N	AcetylH3K9_N	189.988115040065	0.129772589635994	0.0967634573022982	1.34113221306853	0.179877530180232	0.20073289599823
pPKCG_N	pPKCG_N	1863.26730767906	0.0828402047270093	0.0633332746154974	1.30800444521368	0.190871801561055	0.20995898171716
BDNF_N	BDNF_N	317.649832509324	0.0211452969366068	0.0163097303168692	1.29648354238795	0.19480894643136	0.211271674298799
pELK_N	pELK_N	1344.16496790219	0.0448310188221635	0.042538231222595	1.05389945782115	0.291928951166412	0.312201794997413
pCFOS_N	pCFOS_N	131.203233504168	0.0283326574564918	0.0318425942671383	0.889772272284081	0.37358817795676	0.394058763050282
pNR1_N	pNR1_N	823.400976045538	0.0167335669003691	0.0205188694183739	0.815520902208423	0.414774204965641	0.431589375437221
TIAM1_N	TIAM1_N	412.827688696796	0.0147336511600734	0.0186446480232279	0.790234878219097	0.429390610398605	0.440841026675901
P3525_N	P3525_N	298.344381999148	0.00947344997352993	0.0171915320479653	0.551053271290687	0.581597157086547	0.589249751258739
AMPKA_N	AMPKA_N	362.993279125767	-0.0104525237961903	0.0229143494019122	-0.456156254443688	0.648277620154421	0.648277620154421
